Coordinates;Coordinates.x1;Coordinates.x2;Coordinates.y1;Coordinates.y2;Coordinates.z1;Coordinates.z2;Coordinates.PositionUp;Coordinates.PositionDown;Coordinates.label;Coordinates.posUpDown;Coordinates.type;Coordinates.additionalInfos;Coordinates.View;Coordinates.ShowDimension
Klimor.WebApi.DXF.Structures.Coordinates;6100;10370;0;120;0;50;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;6100;10370;0;120;3650;3700;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;6100;6150;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;10320;10370;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;7175;7225;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;8250;8300;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;9325;9375;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;6150;7055;120;170;50;1800;0;0;Down_DrainTray;"";DrainTray;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;6150;7055;120;170;1900;3650;0;0;Down_DrainTray;"";DrainTray;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;7105;8010;120;170;50;1800;0;0;Down_DrainTray;"";DrainTray;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;7105;8010;120;170;1900;3650;0;0;Down_DrainTray;"";DrainTray;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;0;1300;2120;2130;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;1300;2150;2120;2130;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2150;2450;2120;2130;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2450;3750;4240;4250;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;3750;5050;4240;4250;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;5050;6350;4240;4250;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;6350;7650;4240;4250;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;7650;8950;4240;4250;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;8950;9920;4240;4250;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;9920;10370;4240;4250;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;10370;11370;2120;2130;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;11370;11720;2120;2130;0;3700;0;0;Roof;"";Roof;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;10420;11670;170;2070;3700;3705;0;8;Hole;"";Hole;Klimor.WebApi.DXF.Structures.AdditionalInfo;"";True
